Atalar_sozlari|Random_Ededer
Gözəl bürünər, çirkin görünər.|419
Gözəl göz üçün, ağıllı könül üçün.|116
Gözəl kamallı gərək.|905
Gözəl nazlı gərək.|625
Gözəl – gözəl deyil, könül sevən gözəldi.|865
Gözəl sevməyə tövbə olmaz.|881
Gözələ baxmaq göz qaydasıdır.|494
Gözələ göz dəyər, qəlbə söz.|275
Gözəllərdə vəfa olmaz.|22
Gözəllik qarın doyurmaz.|436
Gözəllik ondur, doqquzu dondur.|755
Gözləmədiyim daş, yardı baş.|36
Guşə daşı yerdə qalmaz.|811
Güc birlikdədir.|156
Gücü çatana donuz güddürür.|878
Gücünə bax, şələni bağla.|391
Gül istəyən! Tikanı da istəmək gərək.|615
Gül tikansız olmaz.|176
Gülün qədrin bülbül bilir.|905
Gülünə bax, qönçəsini dər.|552
Gülmə gülünc olana, özün gülünc olarsan.|566
Gülmə qonşuna, gələr başına.|643
Gün çıxar, aləm görər.|552
Gün doğuşundan bəllidir.|747
Gün keçər ömür gedər; dəli sevinər ki, bayram gəlir.|107
Gündə – gündə, bir gün səndə, bir gün məndə.|293
Gündüz getmədiyin yolu gecə getmə.|45
Günü xoş keçənə Tanrı da xoş baxar.|724
Günah öləndə olar, öldürəndə yox.|976
Günbəz görür, elə bilir içində imamzada var.|671
Günü günüdən günü əsirgər.|781
Günü gününün ölümün istər.|153
Güvəc daşa toxunsa - vay güvəcin halına, Daş güvəcə toxunsa - vay güvəcin halına.|568
Güvəc görməyən qazan görəndə xorlar.|32
Güvəcə verə-verə çıxır qazan bahası.|878
Güvəci ya sındır, ya dağdan yuvarlat.|396
Güvəndiyim alçacıq dağlar, sizə də qar yağarmış?!|553
Güvənmə vara, düşərsən dara.|478
Haca gedən gəldi, saca gedən gəlmədi.|2
Hacı saydığımızın xaçı qoltuğundan çıxdı.|179
Hacılar Məkkəyə getdi – qapıları açıq qoyun, gəldilər – qapıları bağlayın.|285
Hacət dedik, höcət demədik.|902
Haqdan keçmək olmaz.|136
Haqq batil olmaz.|535
Haqq daşı ağır olar.|512
Haqq doğrunun yarıdır.|474
Haqq əli bekar qalmaz; gec kəsər, karlı kəsər.|227
Haqq gəlsin, nahaqq gəlməsin.|821
Haqq haqqı kəssə, Allah hər ikisini kəsər.|35
Haqq iş gündən aydın olar.|865
Haqq işin nahaqqından qorxuram.|841
Haqq nazilər, üzülməz.|646
Haqq söz acı olar.|612
Haqq söz axar suları saxlar.|874
Haqq söz danışanın papağı yırtıq olar.|569
Haqq sözdən gül iyi gələr.|636
Haqq sözlə axan sular durular.|508
Haqq yandıran çırağı söndürmək olmaz.|315
Haqq yeyənin adın qoyarlar Haqverdi.|335
Haqq yıxılan mərd ölər.|170
Haqq yiyəsinə yad olmaz.|922
Haqqı tanıyan xana baş əyməz.|829
Haqqın əli olsun, batilin yaxası.|662
Haqqın verdiyinə şükür eləmək nemət artırır.|58
Haqlı var haqsız çıxar, haqsız var haqlı çıxar.|317
Halın bilmədiyin atın dalına keçmə.|462
Halal incələr, ancaq üzülməz.|914
Halal mal heç yerə getməz.|760
Halalzada barışdırdı, haramzada qarışdırdı.|229
Halva-halva deməklə ağız şirin olmaz, yağinən balı gərək olsun.|878
Halvaçı qızı – daha şirin.|469
Hamam suyuynan xətir-göyül görür.|76
Hamı bilir, dağda kəklik gözəldir.|877
Hamı deyir, mədrəbazın gözü çıxsın – bilmirəm mədrəbaz kimdi.|278
Hamını yarın dərdi öldürür, bunu da qarın dərdi.|195
Hamının ağlı bir olsa, keçiyə çoban tapılmaz.|964
Hamıya adət oldu, bizə bidət?!|985
Hancarı eləyim ki, gözüm oğru gözünə oxşamasın?|59
Haralısan? – Hələ evlənməmişəm.|371
Harda aşdır, orda başdır.|482
Harda gördün hamı kor, sən də ol kor.|503
Hardan incəlsə ordan üzülər.|292
Haram gəldi halalı da apardı.|48
Haram gələn harama gedər.|594
Haram mal bərəkət tutmaz.|12
Haram şirin (dadlı) olur.|663
Harama ağzuvı bulaşdırdın, kəşkülüvü doldur götür.|27
Haramın binası olmaz.|452
Havar sənin evində, davar sənin evində, Daş vurursan toz qopur, nə var sənin evində?|135
Hayqırmaq gücə baxar.|334
Hayla gələn huyla gedər.|317
Hazır yeməyə dağlar dayanmaz.|813
Heç bilmir harda bişib, deyir: mənə də bir çömçə!|905
Heç igid kürəkdən yara götürməz.|946
Heç igid yalqız olmasın.|117
Heç igidi yoxsul olmasın.|523
Heç kəs öz ayranına turş deməz.|396
Heç kəs öz eybin bilməz.|433
Heç kəsin çırağı sabahacan yanmaz.|615
Heç kəsin çörəyi heç kəsin qarnında qalmaz.|5
Heç kimin yarası göz qabağında olmasın.|976
Heç yatanın dalısınca oyaq olmasın.|737
Hesab var dinar ilə, bağış var xalvar ilə.|728
Heyvanı budundan dağlarlar, insanı ürəyindən.|219
Həcdən gələn mən, Məkkədən xəbər verən sən?|260
Hələ bala, ilansan, böyüsən şahmar olarsan.|115
Həllacın acığı ağ itdən gələr.|504
Həm dayımgilə gedirəm, həm daylağımı öyrədirəm.|932
Həm ziyarət, həm ticarət.|878
Həmi helədi, həmi kələdi, həmi kərtənkələdi.|63
Həmi ulaq, həmi sulaq.|567
Həmcinsin tanımayan ayağa düşər.|567
Həmən aşdı, həmən kasa.|418
Həmin daş, həmin dibək.|57
Həmişə gülən ağız ayrıq qalar.|798
Həmişə sel kötük gətirməz.|852
Həmişə şaban idi, bir gün də qoy ramazan olsun.|461
Həmişə yol bostan kənarından düşməz.|68
Hənək, hənək, axırı dəyənək.|50
Hər adam özü üçün fikir elər.|121
Hər ağac meyvəsi ilə tanınar.|516
Hər ağıl bir olsa, keçiyə çoban tapılmaz.|179
Hər ağlar gözlüyə aşiq deməzlər.|167
Hər aşığın bir dövranı olar.|725
Hər atılan daşın dalınca getməzlər.|161
Hər daş baş yarmaz.|922
Hər dərdin bir dərmanı var, tapanı gərək.|86
Hər enişin bir yoxuşu, hər yoxuşun bir enişi var.|262
Hər gecənin bir gündüzü var.|822
Hər gəlhagəlin bir gethagedi var.|504
Hər gözəlin bir eybi olar.|637
Hər gün gələn hərgiz olı, bir gün gələn nərgiz olı.|752
Hər hikmətin başı imandı.|848
Hər hürənə daş atsan, daş üstə daş qalmaz.|804
Hər xoruz öz çöplüyündə eşələnər.|966
Hər iş öz ustadı əlində asandı.|444
Hər kələk adam hər dölək iti aldadammaz.|605
Hər kənddən bir dəli, Kələxanıdan qabağuva gələni.|326
Hər kəs ocağın odun özünə sarı eşər.|72
Hər kəs öz arşını ilə ölçər.|442
Hər kəs öz evinin nökəridi.|217
Hər kəs öz əkdiyin biçər.|998
Hər kəs öz ölüsünü oxşayar.|623
Hər kəsin bir dərdi var, dəyirmançının da su dərdi.|179
Hər kəsin qarğası özünə bir qırğıdır.|9
Hər kəsin ölüsü öz bacasına gələr.|871
Hər kəsin tüstüsü öz bacasından düz çıxar.|520
Hər kimin bağı var, ürəyində dağı var.|388
Hər kişi gücünə görə yük götürər.|346
Hər kişinin arşınına görə bez verməzlər.|712
Hər qaranlığın bir aydınlığı var.|873
Hər quşa öz yuvası istidi.|526
Hər oxuyan Molla Pənah olmaz.|44
Hər saatın bir hökmü var.|539
Hər saqqaldan bir tük çəksən, kosaya da bir saqqal olar.|635
Hər səbrin axırı var.|190
Hər sözün bir məqamı (yeri) var.|382
Hər su keçid verməz.|232
Hər sürüdən qurdun öz payı olar.|125
Hər şey nazikliyindən sınar, insan yoğunluğundan.|442
Hər şey öz əslinə çəkər.|591
Hər şey öz vaxtında bitər.|112
Hər şey vaxta baxar, vaxt bir şeyə baxmaz.|862
Hər şeyə nəzər dəyər, ağıldan başqa.|887
Hər şeyi vaxtında əksən, dürr bitər.|397
Hər şeyin erkəyi keçər, sözün – dişisi.|68
Hər şeyin təzəsi, dostun köhnəsi.|232
Hər uzanan ələ halva verməzlər.|358
Hər yana yaxın, paşa qapısından uzaq.|985
Hər yerin dovşanını o yerin tazısı tutar.|939
Hər zalımın bir günü var.|160
Hər ziyanlıq adama bir ağıl öyrədir.|818
Hərbədən qorxma; it qorxusundan hürür.|83
Həsiri oğurlayıb məscidə salır.|536
Həya imandandı.|314
Həya üzdə bir qətrə sudu.|352
Həyalı qızarar, həyasız ağarar.|999
Həyası olmayanın imanı da olmaz.|204
Həyasız atlını atdan salar.|134
Həyasıza salam ver, keç!|68
Həyasızda insaf olmaz, insafsızda həya.|246
Hikmətdən sual yoxdu.|74
Hirs gələndə göz qızarar, hirs gedəndə üz.|965
Hirs ilə qalxan ziyan ilə oturar.|206
Hiylə ilə tikilən ev bahana ilə yıxılar.|335
Hiyləgər dil xəncərdən qorxuludur.|97
Hiyləgərin gözü yaşıl olar.|387
Hoha var dağa mindirər, hoha var dağdan endirər.|343
Holavar görmüşdüm, beləsin görməmişdim.|902
Hökmün qılıncı kəskin olur.|159
Hürə bilməz, itləri başa salar.|376
Hürmək itə qalar, karvan yolun gedər.|107
Hürüşün bilməyən it önünə qurd gətirər.|422
Xain adam qorxaq olar.|107
Xain xoflu olar, kor ürkəyən.|703
Xala evinə dadanan ər evinə xeyir verməz.|833
Xalam bildi - aləm bildi.|990
Xalını xovuna sığallarlar.|787
Xalx qız verib quda qazandı, biz qız verib qada qazandıq.|76
Xalqa it hürəndə bizə çaqqal ulayar.|209
Xalqın ağzını bağlamaq olmaz.|283
Xamın gözü böyük olar.|12
Xamır yeyənə etibar yoxdu.|126
Xan qulluğuna gedən atlı gedər, piyada qayıdar.|772
Xan mənə köpək oğlu dedi.|595
Xana yaradı, bəgə yaradı, keçəl Xondi, sənə yaramadı?|435
Xanım sındıran qabın səsi çıxmaz.|233
Xanım-xanım dedilər, axçacığım yedilər, Elə axçam qurtardı, cırtot xanım dedilər.|483
Xarman yellə sovuşar, düyün ellə.|834
Xarmanın tozu bərəkətli olar.|434
Xasiyyətin bilmədiyin atın quyruğun əlləmə.|149
Xata xata üstündən gəlməsə, bir xataya nə var?|82
Xəta insandan baş verər.|275
Xəta məndən, əta səndən.|772
Xeyir içində şərim olunca, şər içində xeyrim olsun.|339
Xeyir istə qonşuna, xeyir çıxsın qarşına.|631
Xeyirsöyləməzə dedilər: xeyir söylə, gəlləm sənə don gətirrəm.Dedi: getdin bəlkə gəlmədin.|975
Xeyrat halvasından qarın doymaz.|869
Xeyri olsaydı, adın qoyardılar xeyrəli.|674
Xeyrini görmədiyim oğulun vayını eyləyim.|385
Xeyməgaha girən gərək ağlasın.|240
Xəbərçi köpək oğludu, ona qulaq asan əbləh köpək oğludu.|828
Xəmir suyu çox götürər.|352
Xənçəl yarası sağalar, dil yarası sağalmaz.|248
Xəsisdən alınan yumurtanın sarısı olmaz.|903
Xəstə tələsər, armud vaxtında yetişər.|67
Xəstə yatan ölməz, əcəli yetən ölər.|393
Xəstənin işi qalar, astanın işi qalmaz.|187
Xətir üçün xəstə yatmaq olmaz.|53
Xırçıya qarpız bağışlamazlar.|494
Xışı kötügə dayanıb.|176
Xoruz banlamasa, sabah açılmaz?!|955
Xoruz bir kərə bəzənər.|771
Xoruz ölmüş, gözü çöplükdə qalmış.|108
Xoruz öz küllüyündə banlar.|690
Xoruza quyruğu da yükdü.|979
Xoruzun quyruğu görükür.|778
Xoruzun quyruğuna inanım, tülkünün andına?|120
Xoş sözlə ilan yuvasından çıxar.|144
İçdim üzüm suyunu, tökdüm üzüm suyunu.|786
İçərim özümü yandırır, çölüm özgəni.|127
İgid basdığın kəsməz.|688
İgid igidə xor baxmaz.|913
İgid qovğasız olmaz.|835
İgid ləqəbilə tanınar.|685
İgid min yaşar, fürsət bir düşər.|718
İgid odur atdan düşüb atlana, igid odur hər əzaba qatlana.|481
İgid oğul cavan eylər atanı.|364
İgid oğul dayısına çəkər.|225
İgid ölər, adı qalar, müxənnəsin nəyi qalar?!|266
İgid yarasına igid qatlanar.|82
İgid yarasız ölməz.|811
İgidin adı çıxınca canı çıxar.|888
İgidin başı qalda gərək.|200
İgidin igiddən nəyi artıqdır? - Ehtiyatı!|673
İgidlik biləklə deyil, ürəklədir.|799
İki arvadlı ev zibilli olar.|250
İki arvadlı gecə şamsız qalar.|678
İki arvadlı kişinin ağzının dadı olmaz.|468
İki bülbül bir budaqda oxumaz.|251
İki daşı çaxaram, tamaşaya baxaram.|745
İki dəvə əlləşəndə otluq xarab olar.|81
İki düşün, bir danış.|404
İki eşşək bir axurdan arpa yeməz.|559
İki evin urvasından bir fətir olar.|666
İki güləşənin biri basılar.|784
İki it bir aslana dov gələr.|332
İki itin arasına para sümük atmazlar.|524
İki kəsək bir daşa əvəz olmaz.|471
İki kişi danışanda üçüncüsü sən olma.|639
İki qapıda gəzən köpək ac qalar.|478
İki qardaş savaşıb, axmaq buna inanıb.|985
İki qılınc bir qına sığmaz.|76
İki qibləyə namaz olmaz.|415
İki qoçun başı bir qazanda qaynamaz.|468
İki verməzsən, bir ala bilməzsən.|258
İki yana baxan çaş qalar.|857
İki yumruq bir başa gücdür.|53
İkisinə üç lənət, hərəsinə beş lənət.|365
İl ötər, ay dolanar, şənbə düşər novruza.|105
İl var bir günə dəyməz, gün var min aya dəyər.|267
İlin axır çərşənbəsi kimiyə düşər, kimiyə yox.|659
İlan ağzından qurtuldu, qurbağa ağzına düşdü.|435
İlan balasını da çalar.|472
İlan çalan yatar, ac yatmaz.|508
İlan çıxdığı bacanı yaxşı tanıyır.|770
İlan hər yerə əyri gedər, öz yuvasına düz.|1
İlan ilan yeməyincə əjdaha olmaz.|630
İlan qabığın dəyişər, xasiyyətin dəyişməz.|928
İlan öz əyrisin bilməz, deyər: dəvənin boynu əyridi.|385
İlan ulduz görməsə ölməz.|275
İlan vuran ala çatıdan qorxar.|737
İlana ağu verən kərtənkələdi.|468
İlana balası qənim olar.|908
İlanı özgə əliylə tutmaq gərək.|40
İlanı Seyid Əhməd əliylə tutur.|911
İlanı sən tut, mən gözünə darı salım.|785
İlanı yaralı buraxmazlar.|617
İlanı yuvasında öldür.|69
İlanın ağına da nəhlət, qarasına da.|155
İlanın başı ağrıyanda yolun ortasında yatar.|44
İlanın başın düşmənin əliynən əz.|865
İlanın quyruğun basmasan, səni sancmaz.|351
İlanın zəhləsi yarpızdan gedər, o da bitər burnunun dibində.|764
İlxıçının qazancı havayı minməkdi.|720
İlikli sümük ağır olar.|307
İlqar – iman.|788
İlqarı olmayanın imanı da olmaz.|537
İmam tək-tək tapılar, tin başı şümürdür.|686
İman əzizdi.|866
İmandan qonşu payı olmaz.|585
İmtahan yerdədi, göydə deyil.|431
İncələn yerdən üzülər.|713
İnək buzovun ayağını basmaz.|255
İnək göz eləməsə, kələ sıçramaz.|227
İnək sağa bilməyənə həyət əyridir.|530
İnək su içər – süd olar, ilan su içər – zəhər.|499
İnək südünə görə mələr.|297
İnsaf dinin yarısıdır.|915
İnsan çiy süd əmibdi.|963
İnsan xain olmasa, heyvan damğanı neylər?|700
İnsan söyləşə-söyləşə, heyvan iyləşə-iyləşə.|16
İnsanın bir əvvəli, bir axırı.|177
İnsanın əti yeyilməz, dərisi geyilməz, ancaq şirin dili gərək!|64
İnsanınkı gətirməyəndə, xaşıl yeyəndə də dişi sınar.|829
İpək köhnələndə eşşəyə palan olar.|805
İpək necə xar olub, eşşəyə çiäar olub!|584
İpək yumşaq olduğundan, qılınc kəsməz.|425
İpində varsa, cəhrəsində də var, onu əyirən çəpəldə də var.|24
İsinmədik istisinə, kor olduq tüstüsünə.|591
İslanmışın yağışdan nə qorxusu?!|628
İsmarıcnan hac qəbul olmaz.|943
İstədi qaş düzəldə, vurdu gözün çıxartdı.|64
İstədiyim yar idi, yetirdi pərvərdigar.|584
İstədiyin söyləyən istəmədiyin eşidər.|666
İstədiyini unut, gördüyünü demə.|743
İstək gözdə olar.|610
İstəmək bir ayıb, verməmək iki ayıb.|202
İstərəm dosta varam, əlim boş, üzüm qara.|78
İstəyənin bir üzü qara, verməyənin iki üzü.|242
İstəyirsən bal-çörək, al əlinə bel-kürək.|267
İsti aşa soyuq su qatmazlar.|61
İş adamın cövhəridir.|739
İş əldən, söz dildən, oğul beldən gəlməsə nə faydası.|47
İş gedər sahibin tapar.|173
İşdən artmaz, dişdən artar.|541
İşdəsizin yuxusuna beş arşın bez girər.|426
İşə bax, ala qarğa şux tərlanı bəyənmir.|47
İş-gücümüz bucaqda, şəngülümüz qucaqda.|561
İşlək dəmir pas tutmaz.|469
İşləməyin dərdindən yeməyə həsrət canım.|458
İşləməyən dişləməz.|438
İşləyən inci taxar, işləməyən yandan baxar.|161
İşıq gələn yeri tıxamazlar.|379
İşıq olan yerdə yaraşıq olar.|45
İt acından oğurluq elər.|680
İt adına üyüdüb özü yeyir.|326
İt ağzı dəyməklə doqqaz murdar olmaz.|255
İt araba kölgəsində yatar, elə bilər öz kölgəsidi.|904
İt arıqlığını qurda bildirməz.|936
İt aya hürər, başına qal gətirər.|173
İt bilir xurcunda nə var, çoban da bilir itə nə verəcək.|498
İt bir olar, yoxsa bir sürü?!|112
İt bir yara ilə ölməz.|422
İt də getdi, ip də getdi.|301
İt də öz qapısında ağadır.|887
İt də yuxa yeyər, dürməyini bilsə.|427
İt dəmirçi dükanından nə aparar?!|471
İt dəvəyə hürər, dəvənin xəbəri olmaz.|60
İt motaldan əl çəkdi, motal itdən əl çəkmədi.|515
İt əti olsun, şişdə olsun.|390
İt getdi, qurd gəldi.|94
İt hardan aldı iki kütü, birin yesin, birin də başı altına qoysun.|390
İt hürər, karvan keçər.|286
İt it ilən savaşar, çaya gedəndə bir gedər.|765
İt itin ayağın basdamaz.|854
İt itin ətin yeməyib, hampa hampanın ətin yeyib.|666
İt itlə savaşanda bir ayağın dalda tutar.|883
İt itliyindən əl çəkər, sümsünməyindən əl çəkməz.|331
İt itnən boğuşdu, qurdun işi rast düşdü.|635
İt kəlləsini xonçaya qoyarsan, sürüşüb düşər.|919
İt qəssab dükanından ət apardı, ayağın kəsdi.|202
İt qışı çıxardar, amma dərisi nə çəkər.|521
İt qorxduğu yerə hürər.|354
İt qorxusundan oğurluğa getməz.|256
İt quduranda yiyəsini də qapar.|891
İt qulağı əppək eşitdi.|286
İt qulağını kəsəndən qorxar.|967
İt qursağı sarı yağ götürməz.|993
İt nədir ki, yunu nə ola?|263
İt olsun, komasında hürsün.|992
İt özü nədir ki, südü nə ola?!|330
İt özüdür, qurdu mənə göstərir.|119
İt özündən təmizini bilməz.|957
İt sallaqxanadan sümük apardı, ayağın kəsdi.|932
İt sümsünər doyar, adam sümsünər doymaz.|638
İt sümüyü udanda sevinə-sevinə udar, tamaşadı çıxanda.|528
İt ulaya-ulaya yuvasına qurd gətirər.|870
İt yediyin qusar.|397
İtdən çox çarıq aparan yox, yenə ayaqları yalındır.|124
İtdən qurtardıq, qurda rast gəldik!|252
İtdən törəyən it olar.|363
İtdən utanmasan, sahibindən utan.|199
İtə bax, yediyi kütüyə bax.|514
İtə çörək atarlar yiyəsi xatirinə.|244
İtə çörək verməçñən, acından hürər.|591
İtə umudlu ol, ağacını yerə qoyma.|625
İtə umudlu olduq, hürmədi evimizi yıxdı.|789
İti dalıma almışam qurd qorxusundan.|762
İti itlə boğdurarlar.|138
İti ləj düşən evin bərəkəti kəsilər.|662
İti öldürənə sürütdürərlər.|914
İti yuduqcan mındar olar.|795
İtin axsağı ovdan qalmaz.|914
İtin ayağın basarsan, səni qapar.|670
İtin dirisi nədir ki, ölüsü nə ola?|133
İtin əbləhi qayğanaqdan pay umar.|614
İtin hürməyi dilənçini qaytarmaz.|601
İtin qabağından qalanı aslan yeməz.|486
İtin qudursun, çaqqal!|93
İtin qulağını küçükkən kəsərlər.|374
İtin ölümü gələndə çobanın dəyənəyinə sürtünər.|160
İtin yanınnan bəy kimi, bəyin yanınnan it kimi keç.|259
İtini haya öyrətmə, qonşunu paya.|294
İtlə yatan bitlə qalxar.|335
İtlə yoldaş oldun, daşı əldən buraxma.|276
İtən baltanın sapı qızıl olar.|605
İtiyi itən soraq elər.|145
İydə varsa, cəhrədə də var, onu əyirən qarıda da var.|414
İynə batırana çuvaldız batırarlar.|841
İynə işin çuvalduz görməz.|525
İynənin işini çuvalduz görməz.|761
İynənin kiçik ucunu özünə batır, böyük ucunu özgəyə.|671
Kabab qanlı, igid canlı.|607
Kababı köz öldürər, igidi söz.|500
Kamil insan kəlamından bəllidir.|147
Kamil kamili tanır.|99
Kar eşitdiyin, kor tutduğun buraxmaz.|747
Kar eşitməz - yaraşdırar, kor görməz - quraşdırar.|909
Kar iki dəfə gülər.|838
Kar iti qurd aparar.|136
Kar könlündəkini anlar.|637
Kar üçün iki dəfə azan verilməz.|826
Karın başına balta vurdular, dedi: bu nə taqqatuqdu.|739
Karvanın pusquda qalınca vurulmağı yaxşıdı.|852
Kasıb at tapanda ot tapmaz, ot tapanda - at.|779
Kasıb çıxarın bilsə, gündəliyə mahud geyər.|158
Kasıb çıraq yandırar, dövlətlinin pulun sayar.|253
Kasıb geyəndə, - hardandı, - deyərlər, varlı geyəndə – mübarək.|296
Kasıb itinin adın gümüş qoyar.|476
Kasıb oğurluğa çıxdı, Ay da bir yandan çıxdı.|264
Kasıb öləndə molla xəstə olar.|405
Kasıba bazarın tulası da hürər.|314
Kasıbı dəvə üstə böv sancar.|576
Kasıbın bir oğlu oldu, o da boynu əyri.|499
Kasıbın danası dövlətlinin tayasına baxar.|500
Kasıbın əlində qoğal gülməli görsənir.|448
Kasıbın günü – itin günü.|666
Kasıbın malı başının altında gərək.|580
Kasıbın oğlu olunca dövlətlinin qulu ol.|884
Kasıbın sacı çörəyi qurtaranda qızar.|607
Kasıbın səxası şeytandandı.|581
Kasıbın sözü – yurğunun közü.|399
Kasıbın toyunda gecə qısa olar.|400
Keçəl baxar güzgüyə, adın qoyar özgəyə.|699
Keçəl başından qorxar, kor gözündən.|523
Keçəl, başını yudunmu? – Yudum da, daradım da.|995
Keçəl dərman bilsə, öz başına elər.|617
Keçəl düzün desə də, başına qapaz dəyər.|506
Keçəl gileyləndi ki, daraq bahalanıb.|527
Keçəl halva yeyər, puluna minnət.|438
Keçəl qız bəzənincə toy əldən getdi.|733
Keçəl qızım saçlı deyib ağlar.|443
Keçəl qızın nəyi var? Dəmirdən bir darağı.|83
Keçəli börkünün yanından tanıyarlar.|523
Keçəlimə baxma, baxtıma bax.|261
Keçəlin adın qoyarlar Zülfəli.|624
Keçəlin börkü düşənə qədərdir.|139
Keçəlin keçəlliyilə nə işin var, işinin keçərliyilə ol.|545
Keçəlin qazandığı başının qartmağına gedər.|76
Keçəlin tükdən acığı gələr.|459
Keçi can hayında, qəssab da piy axtarır.|109
Keçi ha yanda? Qaya ha yanda?|4
Keçi öldü, qoturu da kəsildi.|913
Keçi suyu bağıra-bağıra keçər.|613
Keçi sürünün qabağında gəlsə də, “qoyun gəldi” deyirlər.|382
Keçini keçi ayağından asarlar, qoyunu qoyun.|865
Keçinin əcəli çatanda çobanın dəyənəyinə sürtüşər.|713
Keçinin qoturu gedər bulağın gözündən su içər.|326
Keçən günə gün çatmaz, calasan günü günə.|881
Keçən xırmanları sovurma.|231
Keçən keçdi, gələn günün xeyir olsun.|523
Keçən keçdi, vay gələcək dərdinə.|492
Keçənə güzəşt deyərlər.|211
Keçər bu dövran, sənə də qalmaz.|946
Keçmə namərd körpüsündən, qoy aparsın su səni.Yatma tülkü kölgəsində, qoy yesin aslan səni.|356
Keşiş, belə iş?!|228
Kəklik başın quylar, qara quyruğundan xəbəri olmaz.|954
Kələk ilə gələn küləklə gedər.|50
Kəndə molla gəlib, hər kim ölür ölsün.|921
Kəndi şortusuyla tanı, qamçını şoldusuyla.|790
Kəndxudalığa hesaba gedən evinə borclu gələr.|715
Kərki olub öz tərəfüvə yonma, mişar ol iki tərəfə yon.|71
Kərməni dadır alır.|302
Kəsək atana daş atarlar.|537
Kəsək oturub daş üçün gün ağlayır.|53
Kəsənin üzün tikən ağardar.|63
Kəsilən başın teli üçün ağlamazlar.|480
Kəsilsin iki əl ki, bir başı saxlamaya.|678
Kiçik daş da baş yarar.|174
Kiçik olmayan yerdə böyük də olmaz.|38
Kiçikdən xəta, böyükdən əta.|868
Kim eşşək olar, biz ona palan olarıq.|5
Kim əkdi, kim becərdi, kim dedi bağ mənimdi.|406
Kiminin başında tac, kiminin boynunda xərac.|541
Kiminin ələyi olar, kiminin sacı.|699
Kiminin əvvəli, kiminin axırı.|369
Kimiyə bir eşşək, kimiyə min köşək.|192
Kimiyə lov, kimiyə pilov.|875
Kimsə kimsənin nəsibin yeməz.|73
Kiş-kiş ilə donuz darıdan çıxmaz.|192
Kişi kişidən qorxmaz, amma utanar.|400
Kişi öz sözünün ağası olar.|850
Kişi seldir, arvad göl.|610
Kişini tez qocaldar axşamdan yatan arvad.|523
Kişinin hörməti öz əlindədir.|692
Kişinin malı göz qabağında gərək.|609
Kişinin sözü bir olar.|868
Kişinin üzünə baxma, sözünə bax.|749
Kor atı minən şahlıq iddiası elər.|627
Kor atı minib köndələn çapır.|337
Kor atın kor da nalbəndi olar.|450
Kor atlanar öz ölkəsini çapar.|731
Kor da bilir balıq şordu.|275
Kor dəyənəyini bir dəfə itirər.|197
Kor əlifə vav deməyib.|123
Kor gözdən yaş ummazlar.|565
Kor gözün sahibinə nə faydası?!|585
Kor ilə çörək yeyəndə Allahı arada gör.|140
Kor keçəli bitləyər ay qaranlıq gecədə.|315
Kor kimdir? – Nabələd.|536
Kor kora dedi: cırt bu yandakı gözünə.|716
Kor kora kor deməsə bağrı çatlar.|956
Kor qız toyda donunu tanıdı.|584
Kor leyləyin yuvasın Allah öz əliylə yapar.|262
Kor nə istər? – İki göz! biri əyri, biri düz!|376
Kor odu ki, düşdüyü quyuya bir də düşə.|687
Kor ölər, adı qalar badamgöz.|730
Kor tutduğun əldən qoymaz.|400
Kor tutduğundan kəsər.|824
Kor ya burda, ya Bağdadda.|593
Kora gecə də, gündüz də birdir.|48
Kora verirsən – mənə ver, şilə verirsən – mənə ver.|644
Korlar ölkəsində çaşlar padşah olar.|572
Koru kor yanında həyan üçün qoyarlar.|369
Korun qabağını əliağaclı kəsməzlər.|34
Korun nə borcu ki, şam bahalanıb!?|483
Koroğlu deyibdi: “basılanı kəsmə”.|369
Koroğlu bir gəlib, bir gedib.|199
Koroğlunu tutmağa bir keçəl Həmzə gərək.|97
Kosa getmişdi saqqal gətirməyə, bığını da üstəlik qoydu.|419
Kosa kəndə girməmiş illisini başladı.|849
Kosaya lağ eləyənin top qara saqqalı gərək.|701
Kotan nə bilir ki, qayış nə çəkir?!|358
Kovxa atlanar, öz kəndini çapar.|690
Kovxa ilə hesaba oturan borclu qalar.|233
Kovxa mənəm, - növbət sənindir.|692
Kovxası gülüm olanın başına külüm olar.|507
Köç dala qayıdanda axsaq keçi qabağa düşər.|398
Köç köçər, it yüyürər, ikisi bir mənzilə çatar.|600
Köçdən azan qarıya bundan da bədtər gərək!|296
Köçəköçdə malını saxla, qaçaqaçda başını.|119
Köçən yurdun qədrini qonan yurdda bilərlər.|188
Köçün yaraşığı dananın soncuqlamağıdır.|778
Köhlən atın çulu cırıq olar.|50
Köhnə bazara təzə nırx qoyma.|712
Köhnə dost düşmən olmaz.|296
Köhnə hamam, köhnə tas.|306
Köhnə qar sovruq verməz.|508
Köhnə pambıq bez olmaz.|911
Köhnə sevgi köhnəlməz.|623
Köhnə tülkü hiyləbaz olar.|795
Köhnə un çuvalıdı, vurduqca toz qopar.|651
Köksüz ağac tez yıxılar.|372
Kölgədə bitən ağacın meyvəsi olmaz.|351
Kölgədə olanın kölgəsi olmaz.|478
Kölgəsində yatdığın ağacı budama.|820
Kömürçünün evinə girən üzü qara çıxar.|967
Kömürçünün qaralmaqdan nə arı?!|55
Könlü balıq sevən künəsin soyuq suya qoyar.|450
